ID SESA,MARCA,TIPO,SEGMENTO CLASE,CLASIFICACION,COMBUSTIBLE,MODELO,UNIDADES EXPUESTAS
0947,JAC,E10X (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2023,57.9477
0953,BMW,COOPER (ELECTRICO),SUBCOMPACTO,AUTOMOVILES,ELECTRICO,2024,524.6893
0958,MG,GT,COMPACTO,AUTOMOVILES,GASOLINA,2024,524.6893
0960,JAC,EJ7 (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2024,524.6893
0978,HYUNDAI,HB20,COMPACTO,AUTOMOVILES,GASOLINA,2024,524.6893
0991,SEV,E-WAN (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,1996,26.8496
0993,BESTUNE,B70,COMPACTO,AUTOMOVILES,GASOLINA,2024,524.6893
0995,BESTUNE,NAT (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2005,57.9477
0998,CHIREY,ARRIZO 8,COMPACTO,AUTOMOVILES,GASOLINA,2024,524.6893
1009,CHIREY,eQ1 EV (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2024,524.6893
1016,SEV,E-TUS (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2025,777.2095
1019,OMODA,O5,COMPACTO,AUTOMOVILES,GASOLINA,2024,524.6893
1024,ARRA,ARRA 3 (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2012,1131.2844
1034,KIA,K3,COMPACTO,AUTOMOVILES,GASOLINA,2024,524.6893
1035,BYD,DOLPHIN (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2024,524.6893
1036,BYD,SEAL (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2006,524.6893
1037,BYD,HAN (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2020,86.3891
1039,RENAULT,KWID E-TECH (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2007,57.9477
1044,GREAT WALL,ORA 03 (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2016,86.3891
1046,HYUNDAI,ELANTRA (HIBRIDO),COMPACTO,AUTOMOVILES,HIBRIDO,2023,57.9477
1056,JMC,EV BLACK (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2007,57.9477
1077,MG,MG3,COMPACTO,AUTOMOVILES,GASOLINA,2025,777.2095
1078,MG,MG4 (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2024,524.6893
1083,BYD,DOLPHIN MINI (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2024,524.6893
1084,BAIC,U5 PLUS,COMPACTO,AUTOMOVILES,GASOLINA,2025,777.2095
1094,MG,MG3 (HIBRIDO),COMPACTO,AUTOMOVILES,HIBRIDO,2025,777.2095
1111,JAC,E30X (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2025,777.2095
1114,KIA,K4,COMPACTO,AUTOMOVILES,GASOLINA,2025,777.2095
1117,BAIC,EU 5 (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,2025,777.2095
1130,GEELY,EMGRAND,COMPACTO,AUTOMOVILES,GASOLINA,2025,777.2095
1135,MG,MG7,COMPACTO,AUTOMOVILES,GASOLINA,2025,777.2095
1136,BYD,KING (HIBRIDO),COMPACTO,AUTOMOVILES,HIBRIDO,2024,524.6893
1144,RENAULT,ARKANA,COMPACTO,AUTOMOVILES,GASOLINA,2025,777.2095
1151,JINPENG,EC01,COMPACTO,AUTOMOVILES,GASOLINA,2024,524.6893
1152,JINPENG,UNI,COMPACTO,AUTOMOVILES,GASOLINA,2024,524.6893
1168,CHANGAN,EADO PLUS,COMPACTO,AUTOMOVILES,GASOLINA,0,#N/D
1171,DONGFENG,SHINE (HIBRIDO),COMPACTO,AUTOMOVILES,HIBRIDO,0,#N/D
1173,DONGFENG,SHINE,COMPACTO,AUTOMOVILES,GASOLINA,0,#N/D
1174,DONGFENG,E70 (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,0,#N/D
1183,SUZUKI,DZIRE,COMPACTO,AUTOMOVILES,GASOLINA,0,#N/D
1198,BYD,e5 (ELECTRICO),COMPACTO,AUTOMOVILES,ELECTRICO,0,#N/D
1199,TOYOTA,YARIS (HIBRIDO),SUBCOMPACTO,AUTOMOVILES,HIBRIDO,0,#N/D
1208,CHANGAN,EADO PLUS (HIBRIDO),COMPACTO,AUTOMOVILES,HIBRIDO,0,#N/D
